MKG_SVP_DSC_TE,Product,MVM_DRC_CD,SVM_TYP_CD,SVC_FEA_TYP_CD,PKG_CHA_TYP_CD,ASY_SVC_TYP_CD,PKG_ACQ_MTH_TYP_CD
UPS Next Day Air^RM,1DA,N,1DA,ALL,ALL,GDL,ALL
UPS Next Day Air^RM - Single Piece Commercial Letter - Return Service,1DA,N,1DA,APB,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Commercial Package - Return Service,1DA,N,1DA,APB,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Letter - Return Service,1DA,N,1DA,APC,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Package - Return Service,1DA,N,1DA,APC,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Letter - Return Service,1DA,N,1DA,APR,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Package - Return Service,1DA,N,1DA,APR,PKG,GDL,ALL
UPS Next Day Air^RM - Package - Authorized Return Service - Regular Pickup,1DA,N,1DA,ARS,PKG,GDL,REG
UPS Next Day Air^RM - Single Piece Commercial Letter - Return Service - Third Party,1DA,N,1DA,ATB,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Commercial Package - Return Service - Third Party,1DA,N,1DA,ATB,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Letter - Return Service - Third Party,1DA,N,1DA,ATC,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Package - Return Service - Third Party,1DA,N,1DA,ATC,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Letter - Return Service - Third Party,1DA,N,1DA,ATR,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Package - Return Service - Third Party,1DA,N,1DA,ATR,PKG,GDL,ALL
UPS Next Day Air^RM - Letter - Consignee Billing - Regular Pickup,1DA,N,1DA,CBB,LTR,GDL,REG
UPS Next Day Air^RM - Package - Consignee Billing - Regular Pickup,1DA,N,1DA,CBB,PKG,GDL,REG
UPS Next Day Air^RM - Hundredweight - Consignee Billing - Regular Pickup,Air_CWT,N,1DA,CBC,PKG,GDL,REG
UPS Next Day Air^RM - Hundredweight - Freight Collect - Regular Pickup,Air_CWT,N,1DA,CFC,ALL,GDL,REG
UPS Next Day Air^RM - Hundredweight - Package - Freight Collect - Regular Pickup,Air_CWT,N,1DA,CFC,PKG,GDL,REG
UPS Next Day Air^RM - Hundredweight - Third Party - Regular Pickup,Air_CWT,N,1DA,CTP,ALL,GDL,REG
UPS Next Day Air^RM - Hundredweight - Package - Third Party - Regular Pickup,Air_CWT,N,1DA,CTP,PKG,GDL,REG
UPS Next Day Air^RM - Hundredweight - Package - Regular Pickup,Air_CWT,N,1DA,CWT,PKG,GDL,REG
UPS Next Day Air^RM - Hundredweight - Package - Regular Pickup,Air_CWT,N,1DA,CWT,ALL,GDL,REG
UPS Next Day Air^RM - Single Piece Residential - Freight Collect,1DA,N,1DA,FFC,ALL,GDL,ALL
UPS Next Day Air^RM - Single Piece Residential Letter - Freight Collect,1DA,N,1DA,FFC,LTR,GDL,ALL
UPS Next Day Air^RM - Single PieceResidential Package - Freight Collect Frt,1DA,N,1DA,FFC,PKG,GDL,ALL
UPS Next Day Air^RM - Multi Piece Package - Freight Collect,1DA,N,1DA,MFC,PKG,GDL,ALL
UPS Next Day Air^RM - Multi Piece Package,1DA,N,1DA,MSH,PKG,GDL,ALL
UPS Next Day Air^RM - Multi Piece Package - Third Party,1DA,N,1DA,MTP,PKG,GDL,ALL
UPS Next Day Air^RM - Single Piece Undeliverable Return - Letter - Prepaid,1DA,N,1DA,RTB,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Undeliverable Return - Package - Prepaid,1DA,N,1DA,RTB,PKG,GDL,ALL
UPS Next Day Air^RM - Hundredweight - Undeliverable Return - Package - Prepaid,Air_CWT,N,1DA,RTM,PKG,GDL,REG
UPS Next Day Air^RM - Single Piece Undeliverable Return - Letter - Third Party,1DA,N,1DA,RXB,LTR,GDL,ALL
UPS Next Day Air^RM - Single Piece Undeliverable Return - Package - Third Party,1DA,N,1DA,RXB,PKG,GDL,ALL
UPS Next Day Air^RM - Hundredweight - Undeliverable Return - Package - Third Party,Air_CWT,N,1DA,RXM,PKG,GDL,REG
