,Product,Min_List_Rev_Wkly,Max_List_Rev_Wkly,Off_Inc_Cap
0,1DA,0,1.0,0.35
1,1DA,1,50.0,0.36
2,1DA,50,80.0,0.39
3,1DA,80,110.0,0.41
4,1DA,110,150.0,0.43
5,1DA,150,190.0,0.45
6,1DA,190,250.0,0.47
7,1DA,250,310.0,0.49
8,1DA,310,380.0,0.513
9,1DA,380,460.0,0.53
10,1DA,460,640.0,0.55
11,1DA,640,1000.0,0.565
12,1DA,1000,1400.0,0.59
13,1DA,1400,2000.0,0.61
14,1DA,2000,2800.0,0.63
15,1DA,2800,4400.0,0.65
16,1DA,4400,6100.0,0.66
17,1DA,6100,8100.0,0.67
18,1DA,8100,10700.0,0.68
19,1DA,10700,14300.0,0.69
20,1DA,14300,17700.0,0.7
21,1DA,17700,20000.0,0.7
22,1DA,20000,30000.0,0.7
23,1DA,30000,40000.0,0.7
24,1DA,40000,60000.0,0.7
25,1DA,60000,80000.0,0.7
26,1DA,80000,100000.0,0.7
27,1DA,100000,120000.0,0.7
28,1DA,120000,140000.0,0.7
29,1DA,140000,160000.0,0.7
30,1DA,160000,180000.0,0.7
31,1DA,180000,200000.0,0.7
32,1DA,200000,9999999.0,0.7
0,2DA,0,1.0,0.32
1,2DA,1,50.0,0.33
2,2DA,50,80.0,0.36
3,2DA,80,110.0,0.38
4,2DA,110,150.0,0.4
5,2DA,150,190.0,0.42
6,2DA,190,250.0,0.44
7,2DA,250,310.0,0.46
8,2DA,310,380.0,0.483
9,2DA,380,460.0,0.5
10,2DA,460,640.0,0.52
11,2DA,640,1000.0,0.535
12,2DA,1000,1400.0,0.56
13,2DA,1400,2000.0,0.58
14,2DA,2000,2800.0,0.6
15,2DA,2800,4400.0,0.62
16,2DA,4400,6100.0,0.63
17,2DA,6100,8100.0,0.64
18,2DA,8100,10700.0,0.65
19,2DA,10700,14300.0,0.65
20,2DA,14300,17700.0,0.65
21,2DA,17700,20000.0,0.65
22,2DA,20000,30000.0,0.65
23,2DA,30000,40000.0,0.65
24,2DA,40000,60000.0,0.65
25,2DA,60000,80000.0,0.65
26,2DA,80000,100000.0,0.65
27,2DA,100000,120000.0,0.65
28,2DA,120000,140000.0,0.65
29,2DA,140000,160000.0,0.65
30,2DA,160000,180000.0,0.65
31,2DA,180000,200000.0,0.65
32,2DA,200000,9999999.0,0.65
0,3DA,0,1.0,0.27
1,3DA,1,50.0,0.28
2,3DA,50,80.0,0.31
3,3DA,80,110.0,0.33
4,3DA,110,150.0,0.35
5,3DA,150,190.0,0.37
6,3DA,190,250.0,0.39
7,3DA,250,310.0,0.41
8,3DA,310,380.0,0.433
9,3DA,380,460.0,0.45
10,3DA,460,640.0,0.47
11,3DA,640,1000.0,0.485
12,3DA,1000,1400.0,0.51
13,3DA,1400,2000.0,0.53
14,3DA,2000,2800.0,0.55
15,3DA,2800,4400.0,0.57
16,3DA,4400,6100.0,0.58
17,3DA,6100,8100.0,0.59
18,3DA,8100,10700.0,0.6
19,3DA,10700,14300.0,0.6
20,3DA,14300,17700.0,0.6
21,3DA,17700,20000.0,0.6
22,3DA,20000,30000.0,0.6
23,3DA,30000,40000.0,0.6
24,3DA,40000,60000.0,0.6
25,3DA,60000,80000.0,0.6
26,3DA,80000,100000.0,0.6
27,3DA,100000,120000.0,0.6
28,3DA,120000,140000.0,0.6
29,3DA,140000,160000.0,0.6
30,3DA,160000,180000.0,0.6
31,3DA,180000,200000.0,0.6
32,3DA,200000,9999999.0,0.6
0,Export,0,1.0,0.39
1,Export,1,50.0,0.41
2,Export,50,80.0,0.43
3,Export,80,110.0,0.44
4,Export,110,150.0,0.46
5,Export,150,190.0,0.48
6,Export,190,250.0,0.5
7,Export,250,310.0,0.52
8,Export,310,380.0,0.53
9,Export,380,460.0,0.54
10,Export,460,640.0,0.57
11,Export,640,1000.0,0.59
12,Export,1000,1400.0,0.61
13,Export,1400,2000.0,0.62
14,Export,2000,2800.0,0.644
15,Export,2800,4400.0,0.66
16,Export,4400,6100.0,0.68
17,Export,6100,8100.0,0.69
18,Export,8100,10700.0,0.7
19,Export,10700,14300.0,0.71
20,Export,14300,17700.0,0.72
21,Export,17700,20000.0,0.72
22,Export,20000,30000.0,0.72
23,Export,30000,40000.0,0.72
24,Export,40000,60000.0,0.72
25,Export,60000,80000.0,0.72
26,Export,80000,100000.0,0.72
27,Export,100000,120000.0,0.72
28,Export,120000,140000.0,0.72
29,Export,140000,160000.0,0.72
30,Export,160000,180000.0,0.72
31,Export,180000,200000.0,0.72
