Business Defined SIC Industry 4 Cd,Business Defined SIC Industry 4 Descr,Business Defined SIC Industry Segment Cd,Business Defined SIC Industry Segment Descr,Business Defined SIC Industry Sub-Segment Level 1 Cd,Business Defined SIC Industry Sub-Segment Level 1 Descr,Business Defined SIC Industry Sub-Segment Level 2 Cd,Business Defined SIC Industry Sub-Segment Level 2 Descr,Business Defined SIC Industry Leg of Supply Chain Cd,Business Defined SIC Industry Leg of Supply Chain Descr
0000,Data Not Available,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0111,Wheat,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0112,Rice,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0115,Corn,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0116,Soybeans,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0119,"Cash Grains, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0131,Cotton,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0132,Tobacco,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001456,Specialty Retail,05,All Other
0133,Sugarcane and Sugar Beets,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0134,Irish Potatoes,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0139,"Field Crops, Except Cash Grain",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0161,Vegetables and Melons,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0171,Berry Crops,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0172,Grapes,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0173,Tree Nuts,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0174,Citrus Fruits,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0175,Deciduous Tree Fruits,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0179,"Fruits and Tree Nuts, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0181,Ornamental Nursery Products,5000,Apparel and Consumer Goods,500014,Consumer Goods Manufacturers,50001408,Building Materials and Hardware,05,All Other
0182,Food Crops Grown Under Cover,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0191,"General Farms, Primarily Crop",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0211,Beef Cattle Feedlots,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0212,"Beef Cattle, Except Feedlots",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0213,Hogs,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0214,Sheep and Goats,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0219,"General Livestock, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0241,Dairy Farms,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0251,"Broiler, fryer, and roaster chickens",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0252,Chicken Eggs,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0253,Turkeys and Turkey Eggs,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0254,Poultry Hatcheries,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0259,"Poultry and Eggs, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0271,Fur-bearing Animals and Rabbits,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0272,Horses and Other Equines,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0273,Animal Aquaculture,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0279,"Animal Specialties, Nec",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0291,"General Farms, Primarily animals",9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0711,Soil Preparation Services,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
0721,Crop Planting and Protection,9900,Other,990090,Non-Targeted,99009090,Non-Targeted,05,All Other
