Product,SVM_TYP_CD,MVM_DRC_CD,SVC_FEA_TYP_CD
1DA,1DA,N,APB
1DA,1DA,N,APC
1DA,1DA,N,APR
1DA,1DA,N,CBB
1DA,1DA,N,FFC
1DA,1DA,N,SCR
1DA,1DA,N,SCX
1DA,1DA,N,SFC
1DA,1DA,N,SFR
1DA,1DA,N,SPB
1DA,1DA,N,SPR
1DA,1DA,N,SPX
1DA,1DA,N,STC
1DA,1DA,N,STP
1DA,1DA,N,STR
1DA,1DP,N,CBB
1DA,1DP,N,FFC
1DA,1DP,N,SCR
1DA,1DP,N,SCX
1DA,1DP,N,SFC
1DA,1DP,N,SFR
1DA,1DP,N,SPB
1DA,1DP,N,SPR
1DA,1DP,N,SPX
1DA,1DP,N,STC
1DA,1DP,N,STP
1DA,1DP,N,STR
2DA,2DA,N,APB
2DA,2DA,N,APC
2DA,2DA,N,APR
2DA,2DA,N,CBB
2DA,2DA,N,FFC
2DA,2DA,N,SCR
2DA,2DA,N,SCX
2DA,2DA,N,SFC
2DA,2DA,N,SFR
2DA,2DA,N,SPB
2DA,2DA,N,SPR
2DA,2DA,N,SPX
2DA,2DA,N,STC
2DA,2DA,N,STP
2DA,2DA,N,STR
2DA,2DM,N,CBB
2DA,2DM,N,SFC
2DA,2DM,N,SPB
2DA,2DM,N,STP
3DA,3DS,N,APB
3DA,3DS,N,APC
3DA,3DS,N,APR
3DA,3DS,N,CBB
3DA,3DS,N,FFC
3DA,3DS,N,SCR
3DA,3DS,N,SCX
3DA,3DS,N,SFC
3DA,3DS,N,SFR
3DA,3DS,N,SPB
3DA,3DS,N,SPR
3DA,3DS,N,SPX
3DA,3DS,N,STC
3DA,3DS,N,STP
3DA,3DS,N,STR
Air_CWT,1DA,N,CBC
Air_CWT,1DA,N,CFC
Air_CWT,1DA,N,CWT
Air_CWT,1DP,N,CBC
Air_CWT,1DP,N,CFC
Air_CWT,1DP,N,CWT
Air_CWT,2DA,N,CBC
Air_CWT,2DA,N,CFC
Air_CWT,2DA,N,CWT
Air_CWT,2DM,N,CBC
Air_CWT,2DM,N,CFC
Air_CWT,2DM,N,CWT
Air_CWT,3DS,N,CBC
Air_CWT,3DS,N,CFC
Air_CWT,3DS,N,CWT
Export,WFM,E,ALL
Export,WFM,E,BAP
Export,WFM,E,BAT
Export,WFM,E,BBP
Export,WFM,E,BBT
Export,WFM,E,BDP
Export,WFM,E,BDT
Export,WFM,E,BPB
Export,WFM,E,BTP
Export,WFM,E,MAP
Export,WFM,E,MAT
Export,WFM,E,MBP
Export,WFM,E,MBT
Export,WFM,E,MDP
Export,WFM,E,MDT
