"NVP_BID_NR","SVC_GRP_NR","RCM_NCV_QY","NCV_MIN_QY","NCV_MAX_QY","MVM_DRC_CD","SVC_TYP_CD","SVC_FEA_TYP_CD"
"P000022997","AHYKJKT",0.501,0.451,0.511,"N","2DA","SCX"
"P000022997","AHYKJKX",0.4056,0.3556,0.4156,"N","GND","SPB"
"P000022997","AHYKJKZ",0.4401,0.3901,0.4501,"E","XPR","ALL"
"P000023012","AHZWBRD",0.3975,0.3475,0.4075,"N","2DM","SPB"
"P000023012","AHZWBVL",0.4752,0.4252,0.4852,"E","WXP","ALL"
"P000023012","AHZWBXE",0.2267,0.1767,0.2367,"I","WXS","ALL"
"P000023016","AHZYKBS",0.6962,0.6462,0.7062,"N","1DA","SCX"
"P000023016","AHZYKCC",0.4562,0.4062,0.4662,"N","GND","SCR"
"P000023016","AHZYKCK",0.3548,0.3048,0.3648,"E","WXS","ALL"
"P000023066","AJDNFZK",0.5258,0.4758,0.5358,"N","1DA","SCX"
"P000023066","AJDNFZL",0.5258,0.4758,0.5358,"N","1DA","SCX"
"P000023066","AJDNFZS",0.5093,0.4593,0.5193,"N","3DS","SCX"
"P000023066","AJDNGBB",0.3973,0.3473,0.4073,"E","WXS","ALL"
"P000023066","AJDNGBC",0.3973,0.3473,0.4073,"E","WXS","ALL"
"P000023066","AJDNGBH",0.3973,0.3473,0.4073,"E","WXP","ALL"
"P000023066","AJDNGBM",0.214,0.164,0.224,"I","XPR","ALL"
"P000023066","AJDNGBO",0.214,0.164,0.224,"I","WXS","ALL"
"P000023069","AJDWGRW",0.5328,0.4828,0.5428,"N","2DM","SPB"
"P000023069","AJDWGRX",0.5012,0.4512,0.5112,"N","3DS","SCX"
"P000023069","AJDWGSH",0.3807,0.3307,0.3907,"E","WXS","ALL"
"P000023069","AJDWGSY",0.2014,0.1514,0.2114,"I","GND","ALL"
"P000023069","AJDWGZZ",0,0,139,"N","GND","ALL"
"P000023069","AJDWHBH",0,0,0,"N","GND","ALL"
"P010031129","AHSCWHI",0.4744,0.4244,0.4844,"N","1DP","SCX"
"P010031129","AHSCWHZ",0.5271,0.4771,0.5371,"E","WWS","ALL"
"P010031129","AHSCWJA",0.5271,0.4771,0.5371,"E","XPR","ALL"
"P010031129","AHSCWJB",0.5271,0.4771,0.5371,"E","WXS","ALL"
"P010031129","AHSCWJC",0.5271,0.4771,0.5371,"E","WXP","ALL"
"P010031129","AHSCWJD",0.3948,0.3448,0.4048,"I","XPD","ALL"
"P010031129","AHSCWJE",0.3948,0.3448,0.4048,"I","XPD","ALL"
"P010031129","AHSCWJK",0.3948,0.3448,0.4048,"I","WXS","ALL"
"P010031129","AHSCWJN",0.3948,0.3448,0.4048,"I","WXP","ALL"
"P010031180","AHTWJWB",0.414,0.364,0.424,"N","3DS","SCX"
"P010031242","AHXNQBA",0.4538,0.4038,0.4638,"E","XPD","ALL"
"P010031242","AHXNQBD",0.4538,0.4038,0.4638,"E","WXS","ALL"
"P010031242","AHXNQBJ",0.4538,0.4038,0.4638,"E","WXP","ALL"
"P010031250","AHYBMQF",0.6147,0.5647,0.6247,"E","XPR","ALL"
"P010031250","AHYBMQJ",0.6147,0.5647,0.6247,"E","XPD","ALL"
"P010031250","AHYBMQS",0.3399,0.2899,0.3499,"N","GND","SCR"
"P010031250","AHYBMQU",0.3509,0.3009,0.3609,"N","3DS","SCX"
"P010031250","AHYBMRA",0.4235,0.3735,0.4335,"N","1DA","SCX"
"P010031250","AHYBMRB",0.4235,0.3735,0.4335,"N","1DP","SCX"
"P010031250","AHYBMRC",0.4235,0.3735,0.4335,"N","1DP","SCX"
"P010031259","AHYKRSP",0.6201,0.5701,0.6301,"N","1DP","SCX"
"P010031259","AHYKRTG",0.5588,0.5088,0.5688,"E","XPD","ALL"
"P010031259","AHYKRTS",0.3576,0.3076,0.3676,"I","XPR","ALL"
"P010031259","AHYKRTT",0.3576,0.3076,0.3676,"I","XPR","ALL"
"P010031259","AHYKRTX",0.3576,0.3076,0.3676,"I","WWS","ALL"
"P010031259","AHYKRTY",0.3576,0.3076,0.3676,"I","WWS","ALL"
"P010031274","AHYSHGA",0.5744,0.5244,0.5844,"E","XPR","ALL"
"P010031274","AHYSHGK",0.5744,0.5244,0.5844,"E","XPR","ALL"
"P010031324","AJBSPCY",0.579,0.529,0.589,"N","2DM","SPB"
"P010031324","AJBSPDQ",0.4577,0.4077,0.4677,"E","WXS","ALL"
"P010031324","AJBSPDX",0.4577,0.4077,0.4677,"E","WXP","ALL"
"P010031324","AJBSPFE",0.4284,0.3784,0.4384,"I","WXS","ALL"
"P010031324","AJBSPFH",0.4284,0.3784,0.4384,"I","WWS","ALL"
"P010031324","AJBSPFL",0.379,0.329,0.389,"N","2DA","CWT"
"P010031328","AJCCJKB",0.6075,0.5575,0.6175,"N","1DP","SCX"
"P010031328","AJCCJYB",0.3924,0.3424,0.4024,"E","XPD","ALL"
"P010031328","AJCCJYF",0.3924,0.3424,0.4024,"E","WXS","ALL"
"P010031328","AJCCJYI",0.3924,0.3424,0.4024,"E","XPR","ALL"
"P010031328","AJCCJYQ",0.3581,0.3081,0.3681,"I","XPR","ALL"
"P010031328","AJCCKCB",0,0,139,"N","GND","ALL"
"P010031384","AJFDTWD",0.4726,0.4226,0.4826,"N","1DA","SCX"
"P010031384","AJFDTWH",0.597,0.547,0.607,"N","2DA","SCX"
"P010031384","AJFDTWL",0.5415,0.4915,0.5515,"N","3DS","SCX"
"P010031384","AJFDTWN",0.2822,0.2322,0.2922,"N","GND","SCR"
"P010031384","AJFDTXM",0.203,0.153,0.213,"I","GND","ALL"
"P020031133","ADTSBHB",0.6842,0.6342,0.6942,"N","1DP","SCX"
