"NVP_BID_NR","SVC_GRP_NR","CNY_CD","CCY_CD","MVM_DRC_CD","SVC_FEA_TYP_CD","SVM_TYP_CD","PKG_CHA_TYP_CD","PKG_ACQ_MTH_TYP_CD","ASY_SVC_TYP_CD","ASY_UNT_QY","ASY_LIS_RVN_A"
"P000023069","AJDWGZX","US","USD","N","ALL","GND","ALL","ALL","GDL",21,48.38
"P000023069","AJDWGZY","US","USD","N","ALL","GND","ALL","ALL","RES",20,68
"P000023069","AJDWHBA","US","USD","N","ALL","ALL","ALL","ALL","LPS",1.5,105.21
"P000023069","AJDWHBB","US","USD","N","ALL","GND","ALL","ALL","LPS",1.5,105.21
"P000023069","AJDWHBC","US","USD","E","ALL","ALL","ALL","ALL","FSC",0.31,0.49
"P000023069","AJDWHBD","US","USD","N","ALL","1DA","ALL","ALL","FSC",2.5,12.16
"P000023069","AJDWHBE","US","USD","N","ALL","1DA","ALL","ALL","GDL",0.2,0.58
"P000023069","AJDWHBF","US","USD","N","ALL","ALL","ALL","ALL","ADC",0.4,5.68
"P000023069","AJDWHBG","US","USD","N","ALL","ALL","ALL","ALL","ALP",5.2,2.6
"P000023069","AJDWHBH","US","USD","N","ALL","GND","ALL","ALL","AHC",21.5,227.1
"P000023069","AJDWHBI","US","USD","N","ALL","GND","ALL","ALL","FSC",408.9,393.16
"P010031328","AJCCKCC","US","USD","N","ALL","ALL","ALL","ALL","ALP",45.5,22.74
"P010031362","AJDMJFE","US","USD","N","ALL","GND","ALL","ALL","RES",10,34
"P020031133","ADVDDHE","US","USD","N","ALL","1DA","ALL","ALL","RES",1,3.65
"P020031133","ADVDDHG","US","USD","N","ALL","1DP","ALL","ALL","RES",1,3.65
"P020031133","ADVDDHJ","US","USD","N","ALL","2DM","ALL","ALL","RES",1,3.65
"P020031133","ADVDDHK","US","USD","N","ALL","2DA","ALL","ALL","RES",1,3.65
"P020031133","ADVDDHL","US","USD","N","ALL","3DS","ALL","ALL","RES",1,3.65
"P020031133","ADVDDHT","US","USD","N","ALL","GND","ALL","ALL","RES",1,3.25
"P020031133","ADVDDHW","US","USD","E","ALL","EXW","ALL","ALL","GDL",0,0
"P020031133","ADVDDHX","US","USD","E","ALL","GND","ALL","ALL","GDL",0,0
"P020031133","ADVDDHY","US","USD","E","ALL","WWS","ALL","ALL","GDL",0,0
"P020031133","ADVDDHZ","US","USD","E","ALL","WXP","ALL","ALL","GDL",0,0
"P020031133","ADVDDJA","US","USD","E","ALL","WXP","ALL","ALL","GFP",0,0
"P020031133","ADVDDJB","US","USD","E","ALL","WXS","ALL","ALL","GDL",0,0
"P020031133","ADVDDJC","US","USD","E","ALL","XPD","ALL","ALL","GDL",0,0
"P020031133","ADVDDJD","US","USD","E","ALL","XPR","ALL","ALL","GDL",0,0
"P020031133","ADVDDJE","US","USD","I","ALL","3DM","ALL","ALL","GDL",0,0
"P020031133","ADVDDJF","US","USD","I","ALL","3DM","ALL","ALL","GPU",0,0
"P020031133","ADVDDJG","US","USD","I","ALL","EXW","ALL","ALL","GDL",0,0
"P020031133","ADVDDJH","US","USD","I","ALL","EXW","ALL","ALL","GPU",0,0
"P020031133","ADVDDJI","US","USD","I","ALL","GND","ALL","ALL","GDL",0,0
"P020031133","ADVDDJJ","US","USD","I","ALL","GND","ALL","ALL","GPU",0,0
"P020031133","ADVDDJK","US","USD","I","ALL","WWS","ALL","ALL","GDL",0,0
"P020031133","ADVDDJL","US","USD","I","ALL","WWS","ALL","ALL","GPU",0,0
"P020031133","ADVDDJM","US","USD","I","ALL","WXP","ALL","ALL","GDL",0,0
"P020031133","ADVDDJN","US","USD","I","ALL","WXP","ALL","ALL","GFD",0,0
"P020031133","ADVDDJO","US","USD","I","ALL","WXP","ALL","ALL","GPU",0,0
"P020031133","ADVDDJP","US","USD","I","ALL","WXS","ALL","ALL","GDL",0,0
"P020031133","ADVDDJQ","US","USD","I","ALL","WXS","ALL","ALL","GPU",0,0
"P020031133","ADVDDJR","US","USD","I","ALL","XPD","ALL","ALL","GDL",0,0
"P020031133","ADVDDJS","US","USD","I","ALL","XPD","ALL","ALL","GPU",0,0
