NVP_BID_NR,NVP_BID_CGY_TYP_CD,NVP_BID_STS_CD,BID_STS_EFF_DT,NVP_BID_NA,NVP_BID_INI_DT,NVP_BID_EFF_DT,NVP_BID_END_DT,EMP_NA,CPE_ETM_OR_IR,NVP_BID_PRP_DT,NVP_BID_RQT_RSN_CD
P620031797,2,$,18-Jul-17,                    ,14-Jul-17,5-Aug-17,22-Jun-47,                    ,N,12-Dec-99,3
P000022997,2,$,24-Feb-17,                    ,21-Feb-17,4-Mar-17,19-Jan-47,                    ,N,12-Dec-99,3
P000023012,2,P,1-Mar-17,                    ,28-Feb-17,11-Mar-17,26-Jan-47,                    ,N,12-Dec-99,3
P000023016,3,$,17-Mar-17,                    ,1-Mar-17,11-Mar-17,26-Jan-47,                    ,N,12-Dec-99,3
P000023066,2,P,15-Mar-17,                    ,15-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,1
P000023069,2,$,16-Mar-17,                    ,16-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,1
P010031129,2,P,23-Jan-17,                    ,23-Jan-17,4-Feb-17,22-Dec-46,                    ,N,12-Dec-99,1
P010031180,2,$,1-Feb-17,                    ,1-Feb-17,11-Feb-17,29-Dec-46,                    ,N,12-Dec-99,3
P010031242,2,P,16-Feb-17,                    ,16-Feb-17,25-Feb-17,12-Jan-47,                    ,N,12-Dec-99,1
P010031250,2,P,21-Feb-17,                    ,20-Feb-17,4-Mar-17,19-Jan-47,                    ,N,12-Dec-99,1
P010031259,2,$,21-Feb-17,                    ,21-Feb-17,4-Mar-17,19-Jan-47,                    ,N,12-Dec-99,3
P010031274,2,$,22-Feb-17,                    ,22-Feb-17,4-Mar-17,19-Jan-47,                    ,N,12-Dec-99,3
P010031324,2,P,6-Mar-17,                    ,6-Mar-17,18-Mar-17,2-Feb-47,                    ,N,12-Dec-99,1
P010031328,2,$,9-Mar-17,                    ,8-Mar-17,18-Mar-17,2-Feb-47,                    ,N,12-Dec-99,1
P010031362,2,P,15-Mar-17,                    ,15-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,3
P010031384,2,$,17-Mar-17,                    ,17-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,3
P020031133,2,P,20-Jan-17,                    ,16-Jan-17,28-Jan-17,15-Dec-46,                    ,N,12-Dec-99,3
P020031217,2,P,14-Feb-17,                    ,2-Feb-17,11-Feb-17,29-Dec-46,                    ,N,12-Dec-99,3
P020031222,2,P,6-Feb-17,                    ,3-Feb-17,11-Feb-17,29-Dec-46,                    ,N,12-Dec-99,3
P020031236,2,$,7-Feb-17,                    ,7-Feb-17,18-Feb-17,5-Jan-47,                    ,N,12-Dec-99,3
P020031249,2,P,24-Feb-17,                    ,9-Feb-17,18-Feb-17,5-Jan-47,                    ,N,12-Dec-99,2
P020031283,2,$,28-Feb-17,                    ,17-Feb-17,25-Feb-17,12-Jan-47,                    ,N,12-Dec-99,3
P020031400,3,P,15-Mar-17,                    ,15-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,3
P030031177,2,P,7-Feb-17,                    ,26-Jan-17,4-Feb-17,22-Dec-46,                    ,N,12-Dec-99,3
P030031206,2,P,2-Feb-17,                    ,2-Feb-17,11-Feb-17,29-Dec-46,                    ,N,12-Dec-99,3
P030031209,2,P,3-Feb-17,                    ,3-Feb-17,11-Feb-17,29-Dec-46,                    ,N,12-Dec-99,3
P030031211,2,P,14-Feb-17,                    ,3-Feb-17,11-Feb-17,16-Feb-19,                    ,N,12-Dec-99,1
P030031331,2,P,7-Mar-17,                    ,7-Mar-17,18-Mar-17,2-Feb-47,                    ,N,12-Dec-99,3
P030031386,2,$,16-Mar-17,                    ,16-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,3
P040031089,2,P,3-Jan-17,                    ,3-Jan-17,14-Jan-17,1-Dec-46,                    ,N,12-Dec-99,3
P040031096,2,P,27-Feb-17,                    ,5-Jan-17,14-Jan-17,1-Dec-46,                    ,N,12-Dec-99,3
P040031166,2,$,19-Jan-17,                    ,19-Jan-17,28-Jan-17,15-Dec-46,                    ,N,12-Dec-99,3
P040031190,2,P,7-Feb-17,                    ,25-Jan-17,4-Feb-17,22-Dec-46,                    ,N,12-Dec-99,3
P040031234,2,P,24-Feb-17,                    ,6-Feb-17,18-Feb-17,5-Jan-47,                    ,N,12-Dec-99,1
P040031275,2,P,15-Feb-17,                    ,15-Feb-17,25-Feb-17,12-Jan-47,                    ,N,12-Dec-99,3
P040031346,2,$,14-Mar-17,                    ,6-Mar-17,18-Mar-17,2-Feb-47,                    ,N,12-Dec-99,3
P040031356,2,$,14-Mar-17,                    ,8-Mar-17,18-Mar-17,2-Feb-47,                    ,N,12-Dec-99,3
P040031369,2,$,17-Mar-17,                    ,13-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,2
P040031381,2,$,14-Mar-17,                    ,14-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,1
P040031395,4,P,16-Mar-17,                    ,16-Mar-17,25-Mar-17,9-Feb-47,                    ,N,12-Dec-99,3
P050031046,3,$,16-Jan-17,                    ,16-Jan-17,28-Jan-17,15-Dec-46,                    ,N,12-Dec-99,3
P050031055,2,$,1-Feb-17,                    ,17-Jan-17,28-Jan-17,15-Dec-46,                    ,N,12-Dec-99,3
P090031110,2,A,16-Feb-17,                    ,16-Feb-17,4-Mar-17,19-Jan-47,                    ,N,12-Dec-99,1
P120031482,2,$,20-Jul-17,                    ,20-Jul-17,29-Jul-17,15-Jun-47,                    ,N,12-Dec-99,3
P730031704,2,$,14-Jul-17,                    ,14-Jul-17,5-Aug-17,22-Jun-47,                    ,N,12-Dec-99,3
P75FY31822,2,$,12-Jul-17,                    ,16-Jun-17,1-Jul-17,18-May-47,                    ,N,12-Dec-99,3
P910031788,2,$,17-Jul-17,                    ,14-Jul-17,5-Aug-17,22-Jun-47,                    ,N,12-Dec-99,1
