"NVP_BID_NR","SVC_GRP_NR"
"P000022997","AHYKJKO"
"P000022997","AHYKJKP"
"P000022997","AHYKJKQ"
"P000022997","AHYKJKR"
"P000022997","AHYKJKS"
"P000022997","AHYKJKT"
"P000022997","AHYKJKU"
"P000022997","AHYKJKV"
"P000022997","AHYKJKW"
"P000022997","AHYKJKX"
"P000022997","AHYKJKY"
"P000022997","AHYKJKZ"
"P000022997","AHYKJLA"
"P000022997","AHYKJLB"
"P000022997","AHYKJLC"
"P000022997","AHYKJLD"
"P000022997","AHYKJLE"
"P000022997","AHYKJLF"
"P000022997","AHYKJLG"
"P000022997","AHYKJLH"
"P000022997","AHYKJLI"
"P000022997","AHYKJLJ"
"P000022997","AHYKJLK"
"P000022997","AHYKJLL"
"P000022997","AHYKJLU"
"P000022997","AHYKJLV"
"P000022997","AHYKJLW"
"P000022997","AHYKJLX"
"P000022997","AHYKJLY"
"P000022997","AHYKJLZ"
"P000022997","AHYKJMA"
"P000022997","AHYKJMB"
"P000022997","AHYKJMC"
"P000022997","AHYKJMD"
"P000022997","AHYKJME"
"P000022997","AHYKJMF"
"P000022997","AHYKJMG"
"P000022997","AHYKJMO"
"P000022997","AHYKJMU"
"P000023012","AHZWBQW"
"P000023012","AHZWBQX"
"P000023012","AHZWBQY"
"P000023012","AHZWBQZ"
"P000023012","AHZWBRB"
"P000023012","AHZWBRC"
"P000023012","AHZWBRD"
"P000023012","AHZWBRE"
"P000023012","AHZWBSE"
"P000023012","AHZWBSF"
"P000023012","AHZWBSO"
"P000023012","AHZWBTY"
"P000023012","AHZWBTZ"
"P000023012","AHZWBVA"
"P000023012","AHZWBVC"
"P000023012","AHZWBVD"
"P000023012","AHZWBVE"
"P000023012","AHZWBVF"
"P000023012","AHZWBVG"
"P000023012","AHZWBVH"
"P000023012","AHZWBVI"
"P000023012","AHZWBVJ"
"P000023012","AHZWBVK"
"P000023012","AHZWBVL"
"P000023012","AHZWBWX"
"P000023012","AHZWBWY"
"P000023012","AHZWBWZ"
"P000023012","AHZWBXA"
"P000023012","AHZWBXC"
"P000023012","AHZWBXD"
"P000023012","AHZWBXE"
"P000023012","AHZWBXF"
"P000023012","AHZWBXG"
"P000023012","AHZWBXH"
"P000023012","AHZWBXI"
"P000023012","AHZWBYY"
"P000023012","AHZWBYZ"
"P000023016","AHZYKBS"
"P000023016","AHZYKBT"
"P000023016","AHZYKBU"
"P000023016","AHZYKBV"
"P000023016","AHZYKBW"
"P000023016","AHZYKBX"
"P000023016","AHZYKBY"
"P000023016","AHZYKBZ"
"P000023016","AHZYKCA"
"P000023016","AHZYKCB"
"P000023016","AHZYKCC"
"P000023016","AHZYKCE"
"P000023016","AHZYKCF"
"P000023016","AHZYKCH"
"P000023016","AHZYKCJ"
"P000023016","AHZYKCK"
"P000023016","AHZYKCL"
"P000023016","AHZYKCM"
"P000023016","AHZYKCT"
"P000023016","AHZYKCU"
"P000023016","AHZYKCY"
"P000023016","AHZYKDB"
"P000023016","AHZYKDC"
"P000023066","AJDNFZK"
"P000023066","AJDNFZL"
"P000023066","AJDNFZM"
"P000023066","AJDNFZN"
"P000023066","AJDNFZO"
"P000023066","AJDNFZP"
"P000023066","AJDNFZQ"
"P000023066","AJDNFZR"
"P000023066","AJDNFZS"
"P000023066","AJDNFZT"
"P000023066","AJDNFZU"
"P000023066","AJDNFZV"
"P000023066","AJDNFZW"
"P000023066","AJDNFZX"
"P000023066","AJDNFZY"
"P000023066","AJDNFZZ"
"P000023066","AJDNGBA"
"P000023066","AJDNGBB"
"P000023066","AJDNGBC"
"P000023066","AJDNGBD"
"P000023066","AJDNGBE"
"P000023066","AJDNGBF"
"P000023066","AJDNGBG"
"P000023066","AJDNGBH"
"P000023066","AJDNGBI"
"P000023066","AJDNGBJ"
"P000023066","AJDNGBK"
"P000023066","AJDNGBL"
"P000023066","AJDNGBM"
"P000023066","AJDNGBN"
"P000023066","AJDNGBO"
"P000023066","AJDNGBP"
"P000023066","AJDNGBQ"
"P000023066","AJDNGBR"
"P000023066","AJDNGBS"
"P000023066","AJDNGBT"
"P000023066","AJDNGBU"
"P000023069","AJDWGRP"
"P000023069","AJDWGRQ"
"P000023069","AJDWGRR"
"P000023069","AJDWGRS"
"P000023069","AJDWGRT"
"P000023069","AJDWGRU"
"P000023069","AJDWGRV"
"P000023069","AJDWGRW"
"P000023069","AJDWGRX"
"P000023069","AJDWGRY"
"P000023069","AJDWGRZ"
"P000023069","AJDWGSA"
"P000023069","AJDWGSB"
"P000023069","AJDWGSC"
"P000023069","AJDWGSD"
"P000023069","AJDWGSE"
"P000023069","AJDWGSF"
"P000023069","AJDWGSG"
"P000023069","AJDWGSH"
"P000023069","AJDWGSI"
"P000023069","AJDWGSJ"
"P000023069","AJDWGSK"
"P000023069","AJDWGSL"
"P000023069","AJDWGSM"
"P000023069","AJDWGSY"
"P000023069","AJDWGSZ"
"P000023069","AJDWGZX"
"P000023069","AJDWGZY"
"P000023069","AJDWHBA"
"P000023069","AJDWHBB"
"P000023069","AJDWHBC"
"P000023069","AJDWHBD"
"P000023069","AJDWHBE"
"P000023069","AJDWHBF"
"P000023069","AJDWHBG"
"P000023069","AJDWHBH"
"P000023069","AJDWHBI"
"P010031129","AHSCWHF"
"P010031129","AHSCWHG"
"P010031129","AHSCWHH"
"P010031129","AHSCWHI"
"P010031129","AHSCWHJ"
"P010031129","AHSCWHK"
"P010031129","AHSCWHL"
"P010031129","AHSCWHM"
"P010031129","AHSCWHN"
"P010031129","AHSCWHO"
"P010031129","AHSCWHP"
"P010031129","AHSCWHQ"
"P010031129","AHSCWHR"
"P010031129","AHSCWHS"
"P010031129","AHSCWHT"
"P010031129","AHSCWHU"
"P010031129","AHSCWHV"
"P010031129","AHSCWHW"
"P010031129","AHSCWHX"
"P010031129","AHSCWHY"
"P010031129","AHSCWHZ"
"P010031129","AHSCWJA"
"P010031129","AHSCWJB"
"P010031129","AHSCWJC"
"P010031129","AHSCWJD"
"P010031129","AHSCWJE"
"P010031129","AHSCWJF"
"P010031129","AHSCWJG"
"P010031129","AHSCWJH"
"P010031129","AHSCWJI"
"P010031129","AHSCWJJ"
"P010031129","AHSCWJK"
"P010031129","AHSCWJL"
"P010031129","AHSCWJM"
"P010031129","AHSCWJN"
"P010031129","AHSCWJO"
"P010031129","AHSCWJP"
"P010031180","AHTWJTH"
"P010031180","AHTWJTI"
"P010031180","AHTWJTJ"
"P010031180","AHTWJTK"
"P010031180","AHTWJTL"
"P010031180","AHTWJVX"
"P010031180","AHTWJWA"
"P010031180","AHTWJWB"
"P010031180","AHTWJWC"
"P010031180","AHTWJXZ"
"P010031242","AHXNPZM"
"P010031242","AHXNPZN"
"P010031242","AHXNPZO"
"P010031242","AHXNPZP"
"P010031242","AHXNPZQ"
"P010031242","AHXNPZR"
"P010031242","AHXNPZS"
"P010031242","AHXNPZT"
"P010031242","AHXNPZU"
"P010031242","AHXNPZV"
"P010031242","AHXNPZW"
"P010031242","AHXNPZX"
"P010031242","AHXNPZY"
"P010031242","AHXNPZZ"
"P010031242","AHXNQBA"
"P010031242","AHXNQBB"
"P010031242","AHXNQBC"
"P010031242","AHXNQBD"
"P010031242","AHXNQBE"
"P010031242","AHXNQBF"
"P010031242","AHXNQBG"
"P010031242","AHXNQBH"
"P010031242","AHXNQBI"
"P010031242","AHXNQBJ"
"P010031242","AHXNQBW"
"P010031242","AHXNQBX"
"P010031242","AHXNQBY"
"P010031242","AHXNQCA"
"P010031242","AHXNQCB"
"P010031250","AHYBMQB"
"P010031250","AHYBMQC"
"P010031250","AHYBMQD"
"P010031250","AHYBMQE"
"P010031250","AHYBMQF"
"P010031250","AHYBMQG"
"P010031250","AHYBMQH"
"P010031250","AHYBMQI"
"P010031250","AHYBMQJ"
"P010031250","AHYBMQK"
"P010031250","AHYBMQL"
"P010031250","AHYBMQM"
"P010031250","AHYBMQN"
"P010031250","AHYBMQO"
"P010031250","AHYBMQP"
"P010031250","AHYBMQQ"
"P010031250","AHYBMQR"
"P010031250","AHYBMQS"
"P010031250","AHYBMQT"
"P010031250","AHYBMQU"
"P010031250","AHYBMQV"
"P010031250","AHYBMQW"
"P010031250","AHYBMQX"
"P010031250","AHYBMQY"
"P010031250","AHYBMQZ"
"P010031250","AHYBMRA"
"P010031250","AHYBMRB"
"P010031250","AHYBMRC"
"P010031259","AHYKRSN"
"P010031259","AHYKRSO"
"P010031259","AHYKRSP"
"P010031259","AHYKRSQ"
"P010031259","AHYKRSR"
"P010031259","AHYKRSS"
"P010031259","AHYKRST"
"P010031259","AHYKRSU"
"P010031259","AHYKRSV"
"P010031259","AHYKRSW"
"P010031259","AHYKRTA"
"P010031259","AHYKRTC"
"P010031259","AHYKRTD"
"P010031259","AHYKRTE"
"P010031259","AHYKRTF"
"P010031259","AHYKRTG"
"P010031259","AHYKRTH"
"P010031259","AHYKRTI"
"P010031259","AHYKRTJ"
"P010031259","AHYKRTK"
"P010031259","AHYKRTL"
"P010031259","AHYKRTM"
"P010031259","AHYKRTN"
"P010031259","AHYKRTO"
"P010031259","AHYKRTP"
"P010031259","AHYKRTQ"
"P010031259","AHYKRTR"
"P010031259","AHYKRTS"
"P010031259","AHYKRTT"
"P010031259","AHYKRTU"
"P010031259","AHYKRTV"
"P010031259","AHYKRTW"
"P010031259","AHYKRTX"
"P010031259","AHYKRTY"
"P010031259","AHYKRTZ"
"P010031259","AHYKRVA"
"P010031259","AHYKRVB"
"P010031259","AHYKRVC"
"P010031259","AHYKRVH"
"P010031274","AHYSHFP"
"P010031274","AHYSHFQ"
"P010031274","AHYSHFR"
"P010031274","AHYSHFS"
"P010031274","AHYSHFT"
"P010031274","AHYSHFU"
"P010031274","AHYSHFV"
"P010031274","AHYSHFW"
"P010031274","AHYSHFX"
"P010031274","AHYSHFY"
"P010031274","AHYSHFZ"
"P010031274","AHYSHGA"
"P010031274","AHYSHGB"
"P010031274","AHYSHGC"
"P010031274","AHYSHGD"
"P010031274","AHYSHGE"
"P010031274","AHYSHGF"
"P010031274","AHYSHGG"
"P010031274","AHYSHGH"
"P010031274","AHYSHGI"
"P010031274","AHYSHGJ"
"P010031274","AHYSHGK"
"P010031274","AHYSHGL"
"P010031274","AHYSHGM"
"P010031274","AHYSHGN"
"P010031274","AHYSHGO"
"P010031274","AHYSHGP"
"P010031274","AHYSHGQ"
"P010031274","AHYSHGR"
"P010031274","AHYSHGS"
"P010031274","AHYSHGT"
"P010031274","AHYSHGU"
"P010031274","AHYSHGV"
"P010031274","AHYSHGW"
"P010031274","AHYSHGX"
"P010031274","AHYSHGY"
"P010031274","AHYSHGZ"
"P010031324","AJBSPCP"
"P010031324","AJBSPCQ"
"P010031324","AJBSPCR"
"P010031324","AJBSPCS"
"P010031324","AJBSPCW"
"P010031324","AJBSPCX"
"P010031324","AJBSPCY"
"P010031324","AJBSPCZ"
"P010031324","AJBSPDI"
"P010031324","AJBSPDJ"
"P010031324","AJBSPDK"
"P010031324","AJBSPDL"
"P010031324","AJBSPDM"
"P010031324","AJBSPDN"
"P010031324","AJBSPDO"
"P010031324","AJBSPDP"
"P010031324","AJBSPDQ"
"P010031324","AJBSPDR"
"P010031324","AJBSPDS"
"P010031324","AJBSPDT"
"P010031324","AJBSPDU"
"P010031324","AJBSPDV"
"P010031324","AJBSPDW"
"P010031324","AJBSPDX"
"P010031324","AJBSPDY"
"P010031324","AJBSPDZ"
"P010031324","AJBSPFA"
"P010031324","AJBSPFB"
"P010031324","AJBSPFC"
"P010031324","AJBSPFD"
"P010031324","AJBSPFE"
"P010031324","AJBSPFF"
"P010031324","AJBSPFG"
"P010031324","AJBSPFH"
"P010031324","AJBSPFI"
"P010031324","AJBSPFJ"
"P010031324","AJBSPFK"
"P010031324","AJBSPFL"
"P010031324","AJBSPFM"
"P010031328","AJCCJJY"
"P010031328","AJCCJJZ"
"P010031328","AJCCJKA"
"P010031328","AJCCJKB"
"P010031328","AJCCJKC"
"P010031328","AJCCJKD"
"P010031328","AJCCJKE"
"P010031328","AJCCJKF"
