"NVP_BID_NR","SVC_GRP_NR","SVC_GRP_SUF_NR","SHR_AC_NR","CUS_AC_STT_DT","CNY_CD","CCY_CD","SHR_PJT_GRS_RPP_A","SHR_PJT_WVL_QY","SHR_PRR_GRS_RVN_A","SHR_PRR_NET_RVN_A","TPT_FRT_CLS_NR","CPE_CRR_NTL_NCV_PR","CPE_CRR_REG_NCV_PR","CPE_NTL_NRV_MIA_A","CPE_REG_NRV_MIA_A","RA_TRI_NR"
"P000022997","AHYKJKO","00","0000453VX9",31-JUL-17,"US","USD",32.5511,1,0,0,,,,,,6
"P000022997","AHYKJKP","00","0000453VX9",31-JUL-17,"US","USD",48.441,1,0,0,,,,,,6
"P000022997","AHYKJKQ","00","0000453VX9",31-JUL-17,"US","USD",31.7145,1,0,0,,,,,,6
"P000022997","AHYKJKR","00","0000453VX9",31-JUL-17,"US","USD",45.4316,1,0,0,,,,,,6
"P000022997","AHYKJKS","00","0000453VX9",31-JUL-17,"US","USD",20.6852,1,0,0,,,,,,6
"P000022997","AHYKJKT","00","0000453VX9",31-JUL-17,"US","USD",19.07,0.1,0,0,,,,,,6
"P000022997","AHYKJKU","00","0000453VX9",31-JUL-17,"US","USD",22.5733,1,0,0,,,,,,6
"P000022997","AHYKJKV","00","0000W4W660",31-JUL-17,"US","USD",27.09,0.1,63.875,44.7,,,,,,6
"P000022997","AHYKJKW","00","0000453VX9",31-JUL-17,"US","USD",36.4513,0.1,0,0,,,,,,6
"P000022997","AHYKJKX","00","0000453VX9",31-JUL-17,"US","USD",21.0984,3.8,772.315,524.385,,,,,,6
"P000022997","AHYKJKX","00","0000608315",31-JUL-17,"US","USD",13.6013,7.5,2070.635,1559.05,,,,,,6
"P000022997","AHYKJKX","00","0000W4W660",31-JUL-17,"US","USD",13.909,7.8,3898.915,2718.9,,,,,,6
"P000022997","AHYKJKY","00","0000453VX9",31-JUL-17,"US","USD",11.2568,2.4,215.665,168.665,,,,,,6
"P000022997","AHYKJKY","00","0000608315",31-JUL-17,"US","USD",11.5256,4.9,1025.45,863.835,,,,,,6
"P000022997","AHYKJKY","00","0000W4W660",31-JUL-17,"US","USD",13.6966,2.5,947.965,725.315,,,,,,6
"P000022997","AHYKJKZ","00","0000453VX9",31-JUL-17,"US","USD",84.9843,0.1,0,0,,,,,,6
"P000022997","AHYKJLA","00","0000453VX9",31-JUL-17,"US","USD",54.358,0.1,0,0,,,,,,6
"P000022997","AHYKJLB","00","0000453VX9",31-JUL-17,"US","USD",86.8942,0.1,0,0,,,,,,6
"P000022997","AHYKJLC","00","0000453VX9",31-JUL-17,"US","USD",93.3035,0.1,0,0,,,,,,6
"P000022997","AHYKJLD","00","0000453VX9",31-JUL-17,"US","USD",86.6768,0.1,0,0,,,,,,6
"P000022997","AHYKJLE","00","0000453VX9",31-JUL-17,"US","USD",110.5208,0.1,0,0,,,,,,6
"P000022997","AHYKJLF","00","0000453VX9",31-JUL-17,"US","USD",61.6068,0.1,0,0,,,,,,6
"P000022997","AHYKJLG","00","0000453VX9",31-JUL-17,"US","USD",89.8451,0.1,0,0,,,,,,6
"P000022997","AHYKJLH","00","0000453VX9",31-JUL-17,"US","USD",49.5395,0.1,0,0,,,,,,6
"P000022997","AHYKJLI","00","0000453VX9",31-JUL-17,"US","USD",49.78,0.1,0,0,,,,,,6
"P000022997","AHYKJLJ","00","0000453VX9",31-JUL-17,"US","USD",70.8975,0.1,0,0,,,,,,6
"P000022997","AHYKJLK","00","0000453VX9",31-JUL-17,"US","USD",79.1559,0.1,0,0,,,,,,6
"P000022997","AHYKJLL","00","0000453VX9",31-JUL-17,"US","USD",1420.5325,0.1,0,0,,,,,,6
"P000022997","AHYKJLU","00","0000453VX9",31-JUL-17,"US","USD",121.0964,0.1,0,0,,,,,,6
"P000022997","AHYKJLV","00","0000453VX9",31-JUL-17,"US","USD",121.0964,0.1,0,0,,,,,,6
"P000022997","AHYKJLW","00","0000453VX9",31-JUL-17,"US","USD",106.9329,0.1,0,0,,,,,,6
"P000022997","AHYKJLX","00","0000453VX9",31-JUL-17,"US","USD",83.2478,0.1,0,0,,,,,,6
"P000022997","AHYKJLY","00","0000453VX9",31-JUL-17,"US","USD",137.0911,0.1,0,0,,,,,,6
"P000022997","AHYKJLZ","00","0000453VX9",31-JUL-17,"US","USD",99.9279,0.1,0,0,,,,,,6
"P000022997","AHYKJMA","00","0000453VX9",31-JUL-17,"US","USD",80.0113,0.1,0,0,,,,,,6
"P000022997","AHYKJMB","00","0000453VX9",31-JUL-17,"US","USD",132.3252,0.1,0,0,,,,,,6
"P000022997","AHYKJMC","00","0000453VX9",31-JUL-17,"US","USD",40.73,0.1,0,0,,,,,,6
"P000022997","AHYKJMD","00","0000453VX9",31-JUL-17,"US","USD",40.73,0.1,0,0,,,,,,6
"P000022997","AHYKJME","00","0000453VX9",31-JUL-17,"US","USD",1742.54,0.1,0,0,,,,,,6
"P000022997","AHYKJMF","00","0000453VX9",31-JUL-17,"US","USD",23.32,0.1,0,0,,,,,,6
"P000022997","AHYKJMG","00","0000453VX9",31-JUL-17,"US","USD",22.054,0.1,0,0,,,,,,6
"P000022997","AHYKJMO","00","0000453VX9",31-JUL-17,"US","USD",27.1315,0.101,663.485,442.935,0,0,0,0,0,6
"P000022997","AHYKJMU","01","0000453VX9",31-JUL-17,"US","USD",11.9288,32.704,220.465,213.2,,,,,,6
"P000022997","AHYKJMU","01","0000W4W660",31-JUL-17,"US","USD",11.1323,123.268,1784.15,1711.685,,,,,,6
"P000023012","AHZWBQW","00","0000X947A6",31-JUL-17,"US","USD",32.7604,0.1,0,0,,,,,,6
"P000023012","AHZWBQX","00","0000226R66",31-JUL-17,"US","USD",96.275,0.442,0,0,,,,,,6
"P000023012","AHZWBQX","00","0000X947A6",31-JUL-17,"US","USD",114.2827,0.442,0,0,,,,,,6
"P000023012","AHZWBQY","00","0000X947A6",31-JUL-17,"US","USD",31.5037,0.1,0,0,,,,,,6
"P000023012","AHZWBQZ","00","0000226R66",31-JUL-17,"US","USD",79.615,0.435,0,0,,,,,,6
"P000023012","AHZWBQZ","00","0000X947A6",31-JUL-17,"US","USD",76.08,1.525,499.525,429.525,,,,,,6
"P000023012","AHZWBRB","00","0000X947A6",31-JUL-17,"US","USD",21.1863,0.1,0,0,,,,,,6
"P000023012","AHZWBRC","00","0000X947A6",31-JUL-17,"US","USD",21.9127,0.1,0,0,,,,,,6
"P000023012","AHZWBRD","00","0000X947A6",31-JUL-17,"US","USD",21.9428,0.1,0,0,,,,,,6
"P000023012","AHZWBRE","00","0000226R66",31-JUL-17,"US","USD",50.38,0.2,161.9,161.9,,,,,,6
"P000023012","AHZWBSE","00","0000X947A6",31-JUL-17,"US","USD",15.5404,0.1,0,0,,,,,,6
"P000023012","AHZWBSF","00","0000226R66",31-JUL-17,"US","USD",16.4446,23.467,298.065,298.065,,,,,,6
"P000023012","AHZWBSF","00","0000X947A6",31-JUL-17,"US","USD",16.3777,84.483,991.665,852.035,,,,,,6
"P000023012","AHZWBSO","00","0000X947A6",31-JUL-17,"US","USD",9.3,0.3,14.5,13.185,,,,,,6
"P000023012","AHZWBTY","00","0000X947A6",31-JUL-17,"US","USD",84.9843,0.1,0,0,,,,,,6
"P000023012","AHZWBTZ","00","0000X947A6",31-JUL-17,"US","USD",54.358,0.1,0,0,,,,,,6
"P000023012","AHZWBVA","00","0000X947A6",31-JUL-17,"US","USD",86.8942,0.1,0,0,,,,,,6
"P000023012","AHZWBVC","00","0000X947A6",31-JUL-17,"US","USD",93.3035,0.1,0,0,,,,,,6
