"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"AHYKJKO","00","P000022997","N1DALTRSCX","SCX","                    ","LTR","                    ","1DA","                    ","000016","FEXP1 ","                    ","2","0000","                    ","                    ","USD","                    ",1,0,32.3018,8.111993,0,0,0,10.414299,04-MAR-17,19-JAN-47,0.848,0,,,,,,,,,,,"LB","T",32.5526,"N",0,0.0353,0
"AHYKJKP","00","P000022997","N1DAPKGSCX","SCX","                    ","PKG","                    ","1DA","                    ","000016","FEXP1 ","                    ","2","0000","                    ","                    ","USD","                    ",1,0,48.0088,9.122143,0,0,0,11.500649,04-MAR-17,19-JAN-47,0.849,0,,,,,,,,,,,"LB","T",48.441,"N",0,0.154414,0
"AHYKJKQ","00","P000022997","N1DPLTRSCX","SCX","                    ","LTR","                    ","1DP","                    ","000016","FEXSOS","                    ","2","0000","                    ","                    ","USD","                    ",1,0,31.7353,6.032369,0,0,0,7.865458,04-MAR-17,19-JAN-47,0.59,0,,,,,,,,,,,"LB","T",31.7353,"N",0,0.0353,0
"AHYKJKR","00","P000022997","N1DPPKGSCX","SCX","                    ","PKG","                    ","1DP","                    ","000016","FEXSOS","                    ","2","0000","                    ","                    ","USD","                    ",1,0,45.4316,7.784362,0,0,0,9.886089,04-MAR-17,19-JAN-47,0.589,0,,,,,,,,,,,"LB","T",45.4316,"N",0,0.154499,0
"AHYKJKS","00","P000022997","N2DALTRSCX","SCX","                    ","LTR","                    ","2DA","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",1,0,20.4209,6.022739,0,0,0,8.059933,04-MAR-17,19-JAN-47,0.626,0,,,,,,,,,,,"LB","T",20.6983,"N",0,0.0353,0
"AHYKJKT","00","P000022997","N2DAPKGSCX","SCX","                    ","PKG","                    ","2DA","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.1,0,19.07,3.621028,0,0,0,5.123387,04-MAR-17,19-JAN-47,0,0,,,,,,,,,,,"LB","T",23.07,"N",7,0.65435,10.6976
"AHYKJKU","00","P000022997","N2DMLTRSPB","SPB","                    ","LTR","                    ","2DM","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",1,0,22.363,5.588838,0,0,0,7.302281,04-MAR-17,19-JAN-47,1,0,,,,,,,,,,,"LB","T",22.5733,"N",0,0.0353,0
"AHYKJKV","00","P000022997","N2DMPKGSPB","SPB","                    ","PKG","                    ","2DM","                    ","000016","FEXECO","                    ","2","0000","                    ","                    ","USD","                    ",0.1,0.1,27.09,6.408105,0,0,0,8.214611,04-MAR-17,19-JAN-47,1,0.3002,,,,,,,,,,,"LB","T",27.09,"N",4,0.36874,10.8478
"AHYKJKW","00","P000022997","N3DSPKGSCX","SCX","                    ","PKG","                    ","3DS","                    ","000016","FEDEXX","                    ","2","0000","                    ","                    ","USD","                    ",0.1,0,36.1339,9.537352,0,0,0,11.757066,04-MAR-17,19-JAN-47,0.616,0,,,,,,,,,,,"LB","T",36.4513,"N",0,0.899254,0
"AHYKJKX","00","P000022997","NGNDPKGSPB","SPB","                    ","PKG","                    ","GND","                    ","000016","FEXGND","                    ","2","0000","                    ","                    ","USD","                    ",164.8,164.8,14.9694,5.307998,0,0,0,6.707629,04-MAR-17,19-JAN-47,1,0.2877,,,,,,,,,,,"LB","T",15.2185,"N",18.374031,1.696357,10.8315
