"NVP_BID_NR","SVC_GRP_NR","SVC_GRP_SUF_NR","DEL_ZN_NR","WGT_MS_UNT_TYP_CD","WGT_CGY_WGY_QY","PKGBOL","WEIGHT"
"P000022997","AHYKJKO","00","103   ","LB",0,0.1555822,0
"P000022997","AHYKJKO","00","104   ","LB",0,0.216829,0
"P000022997","AHYKJKO","00","105   ","LB",0,0.2686576,0
"P000022997","AHYKJKO","00","106   ","LB",0,0.0619553,0
"P000022997","AHYKJKO","00","107   ","LB",0,0.1045847,0
"P000022997","AHYKJKO","00","108   ","LB",0,0.1923912,0
"P000022997","AHYKJKP","00","103   ","LB",1,0.1555822,1
"P000022997","AHYKJKP","00","104   ","LB",1,0.216829,1
"P000022997","AHYKJKP","00","105   ","LB",1,0.2686576,1
"P000022997","AHYKJKP","00","106   ","LB",1,0.0619553,1
"P000022997","AHYKJKP","00","107   ","LB",1,0.1045847,1
"P000022997","AHYKJKP","00","108   ","LB",1,0.1923912,1
"P000022997","AHYKJKQ","00","133   ","LB",0,0.1329066,0
"P000022997","AHYKJKQ","00","134   ","LB",0,0.2078765,0
"P000022997","AHYKJKQ","00","135   ","LB",0,0.3054909,0
"P000022997","AHYKJKQ","00","136   ","LB",0,0.059929,0
"P000022997","AHYKJKQ","00","137   ","LB",0,0.1188937,0
"P000022997","AHYKJKQ","00","138   ","LB",0,0.1749034,0
"P000022997","AHYKJKR","00","133   ","LB",1,0.1329066,1
"P000022997","AHYKJKR","00","134   ","LB",1,0.2078765,1
"P000022997","AHYKJKR","00","135   ","LB",1,0.3054909,1
"P000022997","AHYKJKR","00","136   ","LB",1,0.059929,1
"P000022997","AHYKJKR","00","137   ","LB",1,0.1188937,1
"P000022997","AHYKJKR","00","138   ","LB",1,0.1749034,1
"P000022997","AHYKJKS","00","203   ","LB",0,0.079604,0
"P000022997","AHYKJKS","00","204   ","LB",0,0.1808589,0
"P000022997","AHYKJKS","00","205   ","LB",0,0.3449577,0
"P000022997","AHYKJKS","00","206   ","LB",0,0.0888886,0
"P000022997","AHYKJKS","00","207   ","LB",0,0.1754221,0
"P000022997","AHYKJKS","00","208   ","LB",0,0.1302688,0
"P000022997","AHYKJKT","00","202   ","LB",6,0.1,6
"P000022997","AHYKJKU","00","243   ","LB",0,0.0947808,0
"P000022997","AHYKJKU","00","244   ","LB",0,0.2264781,0
"P000022997","AHYKJKU","00","245   ","LB",0,0.3359423,0
"P000022997","AHYKJKU","00","246   ","LB",0,0.0607,0
"P000022997","AHYKJKU","00","247   ","LB",0,0.1543716,0
"P000022997","AHYKJKU","00","248   ","LB",0,0.1277272,0
"P000022997","AHYKJKV","00","245   ","LB",3,0.1,3
"P000022997","AHYKJKW","00","303   ","LB",10,0.0040538,10
"P000022997","AHYKJKW","00","304   ","LB",10,0.0112463,10
"P000022997","AHYKJKW","00","305   ","LB",10,0.0311886,10
"P000022997","AHYKJKW","00","306   ","LB",10,0.0099642,10
"P000022997","AHYKJKW","00","307   ","LB",10,0.0323816,10
"P000022997","AHYKJKW","00","308   ","LB",10,0.0111656,10
"P000022997","AHYKJKX","00","002   ","LB",1,0.038,1
"P000022997","AHYKJKX","00","002   ","LB",2,0.488,2
"P000022997","AHYKJKX","00","002   ","LB",3,0.226,3
"P000022997","AHYKJKX","00","002   ","LB",4,0.075,4
"P000022997","AHYKJKX","00","002   ","LB",7,0.225,7
"P000022997","AHYKJKX","00","002   ","LB",8,0.15,8
"P000022997","AHYKJKX","00","002   ","LB",10,0.153,10
"P000022997","AHYKJKX","00","002   ","LB",11,0.075,11
"P000022997","AHYKJKX","00","002   ","LB",12,0.075,12
"P000022997","AHYKJKX","00","002   ","LB",13,0.075,13
"P000022997","AHYKJKX","00","002   ","LB",14,0.038,14
"P000022997","AHYKJKX","00","002   ","LB",15,0.338,15
"P000022997","AHYKJKX","00","002   ","LB",17,0.15,17
"P000022997","AHYKJKX","00","002   ","LB",18,0.113,18
"P000022997","AHYKJKX","00","002   ","LB",19,0.15,19
"P000022997","AHYKJKX","00","002   ","LB",20,0.15,20
"P000022997","AHYKJKX","00","002   ","LB",21,0.075,21
"P000022997","AHYKJKX","00","002   ","LB",22,0.113,22
"P000022997","AHYKJKX","00","002   ","LB",23,0.038,23
"P000022997","AHYKJKX","00","002   ","LB",24,0.075,24
"P000022997","AHYKJKX","00","002   ","LB",25,0.075,25
"P000022997","AHYKJKX","00","002   ","LB",26,0.227,26
"P000022997","AHYKJKX","00","002   ","LB",27,0.225,27
"P000022997","AHYKJKX","00","002   ","LB",28,0.225,28
"P000022997","AHYKJKX","00","002   ","LB",30,0.075,30
"P000022997","AHYKJKX","00","002   ","LB",32,0.076,32
"P000022997","AHYKJKX","00","002   ","LB",33,0.15,33
"P000022997","AHYKJKX","00","002   ","LB",35,0.076,35
"P000022997","AHYKJKX","00","002   ","LB",39,0.075,39
"P000022997","AHYKJKX","00","002   ","LB",41,0.075,41
"P000022997","AHYKJKX","00","002   ","LB",42,0.076,42
"P000022997","AHYKJKX","00","002   ","LB",43,0.075,43
"P000022997","AHYKJKX","00","002   ","LB",47,0.038,47
"P000022997","AHYKJKX","00","002   ","LB",50,0.075,50
"P000022997","AHYKJKX","00","002   ","LB",53,0.075,53
"P000022997","AHYKJKX","00","002   ","LB",56,0.15,56
"P000022997","AHYKJKX","00","002   ","LB",58,0.075,58
"P000022997","AHYKJKX","00","002   ","LB",66,0.075,66
"P000022997","AHYKJKX","00","003   ","LB",2,0.113,2
"P000022997","AHYKJKX","00","003   ","LB",3,0.075,3
"P000022997","AHYKJKX","00","003   ","LB",4,0.038,4
"P000022997","AHYKJKX","00","003   ","LB",6,0.075,6
"P000022997","AHYKJKX","00","003   ","LB",8,0.153,8
"P000022997","AHYKJKX","00","003   ","LB",10,0.075,10
"P000022997","AHYKJKX","00","003   ","LB",12,0.078,12
"P000022997","AHYKJKX","00","003   ","LB",24,0.038,24
"P000022997","AHYKJKX","00","003   ","LB",26,0.156,26
"P000022997","AHYKJKX","00","003   ","LB",32,0.078,32
"P000022997","AHYKJKX","00","003   ","LB",38,0.038,38
"P000022997","AHYKJKX","00","003   ","LB",40,0.038,40
"P000022997","AHYKJKX","00","003   ","LB",42,0.078,42
"P000022997","AHYKJKX","00","004   ","LB",3,0.075,3
"P000022997","AHYKJKX","00","004   ","LB",4,0.263,4
"P000022997","AHYKJKX","00","004   ","LB",5,0.15,5
"P000022997","AHYKJKX","00","004   ","LB",6,0.075,6
"P000022997","AHYKJKX","00","004   ","LB",7,0.153,7
"P000022997","AHYKJKX","00","004   ","LB",9,0.075,9
"P000022997","AHYKJKX","00","004   ","LB",10,0.075,10
"P000022997","AHYKJKX","00","004   ","LB",21,0.075,21
"P000022997","AHYKJKX","00","004   ","LB",29,0.075,29
"P000022997","AHYKJKX","00","004   ","LB",31,0.075,31
"P000022997","AHYKJKX","00","004   ","LB",37,0.075,37
"P000022997","AHYKJKX","00","004   ","LB",52,0.075,52
"P000022997","AHYKJKX","00","004   ","LB",58,0.075,58
"P000022997","AHYKJKX","00","005   ","LB",1,0.038,1
"P000022997","AHYKJKX","00","005   ","LB",3,0.774,3
"P000022997","AHYKJKX","00","005   ","LB",4,0.308,4
"P000022997","AHYKJKX","00","005   ","LB",5,0.231,5
"P000022997","AHYKJKX","00","005   ","LB",6,0.534,6
"P000022997","AHYKJKX","00","005   ","LB",8,0.194,8
"P000022997","AHYKJKX","00","005   ","LB",9,0.307,9
"P000022997","AHYKJKX","00","005   ","LB",10,0.038,10
"P000022997","AHYKJKX","00","005   ","LB",13,0.075,13
"P000022997","AHYKJKX","00","005   ","LB",14,0.075,14
"P000022997","AHYKJKX","00","005   ","LB",15,0.078,15
"P000022997","AHYKJKX","00","005   ","LB",16,0.076,16
"P000022997","AHYKJKX","00","005   ","LB",18,0.113,18
"P000022997","AHYKJKX","00","005   ","LB",21,0.075,21
"P000022997","AHYKJKX","00","005   ","LB",25,0.075,25
"P000022997","AHYKJKX","00","005   ","LB",26,0.153,26
"P000022997","AHYKJKX","00","005   ","LB",28,0.116,28
"P000022997","AHYKJKX","00","005   ","LB",29,0.075,29
"P000022997","AHYKJKX","00","005   ","LB",30,0.038,30
"P000022997","AHYKJKX","00","005   ","LB",31,0.038,31
"P000022997","AHYKJKX","00","005   ","LB",32,0.038,32
"P000022997","AHYKJKX","00","005   ","LB",33,0.038,33
"P000022997","AHYKJKX","00","005   ","LB",35,0.038,35
"P000022997","AHYKJKX","00","005   ","LB",39,0.15,39
"P000022997","AHYKJKX","00","005   ","LB",40,0.114,40
"P000022997","AHYKJKX","00","005   ","LB",46,0.038,46
"P000022997","AHYKJKX","00","005   ","LB",48,0.078,48
"P000022997","AHYKJKX","00","005   ","LB",49,0.191,49
"P000022997","AHYKJKX","00","005   ","LB",60,0.038,60
"P000022997","AHYKJKX","00","005   ","LB",64,0.075,64
"P000022997","AHYKJKX","00","006   ","LB",3,1.748,3
"P000022997","AHYKJKX","00","006   ","LB",4,0.272,4
"P000022997","AHYKJKX","00","006   ","LB",5,0.659,5
"P000022997","AHYKJKX","00","006   ","LB",6,0.151,6
"P000022997","AHYKJKX","00","006   ","LB",7,0.038,7
"P000022997","AHYKJKX","00","006   ","LB",9,0.038,9
"P000022997","AHYKJKX","00","006   ","LB",10,0.038,10
"P000022997","AHYKJKX","00","006   ","LB",13,0.078,13
"P000022997","AHYKJKX","00","006   ","LB",14,0.078,14
"P000022997","AHYKJKX","00","006   ","LB",16,0.078,16
"P000022997","AHYKJKX","00","006   ","LB",17,0.078,17
