"NVP_BID_NR","SVC_GRP_NR","PND_STS_CD","CPE_ETM_RPP_A","SVC_GRP_TRG_PSE_A","SVC_TRG_LOW_RNG_A","SVC_TRG_HI_RNG_A","TRG_PSE_FCR_NR"
"P000022997","AHYKJKO"," ",15.9579,14.603,16.463,14.274,"0228"
"P000022997","AHYKJKP"," ",24.4876,21.82,24.585,21.331,"0228"
"P000022997","AHYKJKQ"," ",15.3595,13.782,15.61,13.459,"0228"
"P000022997","AHYKJKR"," ",22.6649,20.16,22.777,19.698,"0228"
"P000022997","AHYKJKS"," ",10.8827,10.032,11.209,9.824,"0228"
"P000022997","AHYKJKT"," ",9.4143,7.966,9.065,7.772,"0228"
"P000022997","AHYKJKU"," ",12.2101,11.046,12.334,10.819,"0228"
"P000022997","AHYKJKV"," ",13.5208,12.324,13.884,12.048,"0228"
"P000022997","AHYKJKW"," ",20.5029,18.575,20.657,18.207,"0228"
"P000022997","AHYKJKX"," ",9.542,9.572,10.283,9.497,"0228"
"P000022997","AHYKJKY"," ",7.8544,7.511,8.049,7.454,"0228"
"P000022997","AHYKJKZ"," ",35.0858,30.549,35.444,29.684,"0228"
"P000022997","AHYKJLA"," ",21.9813,19.87,22.996,19.318,"0228"
"P000022997","AHYKJLB"," ",35.8627,31.094,36.099,30.209,"0228"
"P000022997","AHYKJLC"," ",39.0779,34.159,39.534,33.21,"0228"
"P000022997","AHYKJLD"," ",35.5951,31.052,36.044,30.169,"0228"
"P000022997","AHYKJLE"," ",46.6851,40.857,47.223,39.732,"0228"
"P000022997","AHYKJLF"," ",25.6575,23,26.51,22.38,"0228"
"P000022997","AHYKJLG"," ",37.9022,32.958,38.133,32.044,"0228"
"P000022997","AHYKJLH"," ",29.2035,25.036,27.889,24.531,"0228"
"P000022997","AHYKJLI"," ",29.3453,25.156,28.023,24.649,"0228"
"P000022997","AHYKJLJ"," ",28.7086,25.129,29.213,24.407,"0228"
"P000022997","AHYKJLK"," ",32.7101,28.551,33.11,27.745,"0228"
"P000022997","AHYKJLL"," ",648.239,559.58,641.402,545.119,"0228"
"P000022997","AHYKJLU"," ",69.4464,60.938,67.913,59.705,"0228"
"P000022997","AHYKJLV"," ",69.4464,61.034,68.009,59.801,"0228"
"P000022997","AHYKJLW"," ",75.8562,66.225,72.384,65.136,"0228"
"P000022997","AHYKJLX"," ",45.0762,40.274,45.069,39.427,"0228"
"P000022997","AHYKJLY"," ",75.8562,66.61,74.506,65.214,"0228"
"P000022997","AHYKJLZ"," ",75.8562,66.136,71.892,65.119,"0228"
"P000022997","AHYKJMA"," ",45.0762,40.212,44.82,39.397,"0228"
"P000022997","AHYKJMB"," ",75.8562,66.541,74.163,65.194,"0228"
"P000022997","AHYKJMC"," ",24.0103,20.737,23.083,20.323,"0228"
"P000022997","AHYKJMD"," ",24.0103,20.701,23.047,20.286,"0228"
"P000022997","AHYKJME"," ",1048.9195,897.339,997.709,879.6,"0228"
"P000022997","AHYKJMF"," ",18.9778,17.934,19.042,17.817,"0228"
"P000022997","AHYKJMG"," ",17.4224,16.458,17.507,16.348,"0228"
"P000022997","AHYKJMO"," ",20.0889,20.087,21.525,19.952,"0228"
"P000022997","AHYKJMU"," ",8.9224,8.926,9.456,8.87,"0228"
"P000023012","AHZWBQW"," ",17.5237,17.71,19.245,17.547,"0229"
"P000023012","AHZWBQX"," ",51.1345,51.967,56.919,51.441,"0229"
"P000023012","AHZWBQY"," ",16.6728,16.823,18.308,16.665,"0229"
"P000023012","AHZWBQZ"," ",37.0438,36.919,40.507,36.539,"0229"
"P000023012","AHZWBRB"," ",11.9353,12.193,13.179,12.088,"0229"
"P000023012","AHZWBRC"," ",11.9353,12.232,13.246,12.125,"0229"
"P000023012","AHZWBRD"," ",12.7569,13.156,14.18,13.047,"0229"
"P000023012","AHZWBRE"," ",26.7822,27.218,29.592,26.966,"0229"
"P000023012","AHZWBSE"," ",9.8745,10.254,10.972,10.178,"0229"
"P000023012","AHZWBSF"," ",10.2349,9.738,10.237,9.524,"0229"
"P000023012","AHZWBSO"," ",6.9703,5.922,6.219,5.795,"0229"
"P000023012","AHZWBTY"," ",41.4748,40.74,44.746,40.315,"0229"
"P000023012","AHZWBTZ"," ",25.9839,25.923,28.48,25.651,"0229"
"P000023012","AHZWBVA"," ",42.3931,41.526,45.622,41.092,"0229"
"P000023012","AHZWBVC"," ",46.1939,45.307,49.706,44.841,"0229"
"P000023012","AHZWBVD"," ",42.0769,41.23,45.316,40.797,"0229"
"P000023012","AHZWBVE"," ",55.1864,54.118,59.328,53.566,"0229"
"P000023012","AHZWBVF"," ",30.3296,30.273,33.145,29.968,"0229"
"P000023012","AHZWBVG"," ",44.8041,43.983,48.219,43.534,"0229"
"P000023012","AHZWBVH"," ",31.7003,30.933,33.269,30.686,"0229"
"P000023012","AHZWBVI"," ",31.8542,31.082,33.429,30.833,"0229"
"P000023012","AHZWBVJ"," ",33.9365,33.408,36.75,33.054,"0229"
"P000023012","AHZWBVK"," ",38.6665,37.99,41.721,37.594,"0229"
"P000023012","AHZWBVL"," ",766.2816,748.912,815.876,741.809,"0229"
